,conf,ra,dec
104,0.93408436,2.6148153875,-57.78468696206897
105,0.9317282,0.4033125328,-58.3117240496
106,0.93089753,0.6475331824242424,-60.33089256848486
107,0.9301577,2.3384191583916083,-61.85129006293707
108,0.9300617,2.5366401457711443,-59.35769508358209
109,0.92295164,359.9920984186364,-63.07696883636364
110,0.9216638,3.145724557207207,-59.463039640540536
111,0.9191416,2.7592561588235296,-59.378357787330316
112,0.91802174,359.1539245796875,-59.5326818046875
113,0.9179938,359.3148226475207,-56.963475004545465
114,0.9160004,0.6794164003937009,-57.63372092598426
115,0.9152796,358.64427742396697,-58.9005502983471
116,0.9121007,357.1255784898734,-57.33695193375528
117,0.910549,356.85493586098363,-59.48609106918034
118,0.9102552,359.71426597195125,-60.79976054349594
119,0.8961829,2.10334827,-57.19523643421052
120,0.8930523,359.716582288015,-61.586872262921354
121,0.889195,358.60308565366665,-59.49540705766666
122,0.8887322,1.4899659607142857,-62.60970832107144
123,0.88832766,1.0661344825301204,-59.358727485542175
124,0.8869541,2.617592223529412,-60.51454888039216
125,0.8831222,0.045377258860759453,-60.06844526835444
126,0.8807054,359.39895585757574,-62.627515422943716
127,0.8800787,358.2239458428572,-58.838142021428574
128,0.8768037,1.2279297437229435,-60.630645101731595
129,0.86765176,357.1084311869566,-60.82218797035574
130,0.86756605,358.01498003614864,-60.52477117972973
131,0.8670044,0.9641177438709677,-59.709718247096774
132,0.86684346,359.1782924031373,-60.74577544156862
133,0.86546934,359.47781727333336,-60.74214656416666
134,0.86491597,2.049370636363636,-59.06303319494948
135,0.86260086,0.09405487330316736,-62.777981365158375
136,0.8614761,1.154692868421053,-57.32866164078948
137,0.8601482,0.8850631510752688,-58.99100563172043
138,0.85832626,357.1835828206008,-61.2054617858369
139,0.85766596,0.2728440604081633,-62.48894393020408
140,0.8561389,3.141021089922481,-59.875275777519384
141,0.8546302,358.72414645188286,-57.707856365271965
142,0.85385334,1.1882934255172415,-59.90078083310345
143,0.8502147,0.7533499897959184,-60.691961915306116
144,0.8476702,0.6560170363095238,-59.500787770833334
145,0.84023654,358.720401304943,-62.13460740228136
146,0.83918214,1.899109711814346,-60.20454814978902
147,0.8350405,1.0935905358267715,-58.21115913503937
148,0.83286047,0.9647997540441177,-62.11491110441177
149,0.83180773,359.1950495396887,-60.71566801245136
150,0.82217205,1.3757446272357723,-57.75732612682927
151,0.81720257,359.2257214284585,-60.7331655916996
152,0.81680596,359.846277949,-59.968665504
153,0.81182665,2.163225498019802,-62.82968983927394
154,0.81080925,359.26346866099584,-60.403452533195015
155,0.8068463,1.6441326378205132,-59.528916208974366
156,0.80418265,3.008575943347639,-59.81537779399142
