,ra,dec,w1mpro,w1sigmpro,w1mpro2,w2sigmpro,mjd,qual_frame
194,1.5347934,-59.0875419,14.054,0.053,14.054,0.085,59715.98388249,10
196,1.5348855,-59.087565,13.971,0.049,13.971,0.093,59716.57128537,10
199,1.5347356,-59.087507,13.938,0.049,13.938,0.071,59716.76713101,10
200,1.5347722,-59.0875284,14.111,0.052,14.111,0.106,59717.35441324,10
203,1.5349015,-59.0874978,14.335,0.067,14.335,0.095,60247.92856229,10
204,1.5345166,-59.0874872,14.395,0.077,14.395,0.111,60247.08787743,10
213,1.5348156,-59.0875472,14.438,0.074,14.438,0.104,60247.92868965,10
214,1.5347,-59.0874919,14.305,0.075,14.305,0.149,60247.28194039,10
218,1.5349541,-59.0876369,14.455,0.067,14.455,0.102,60247.1525651,10
220,1.5343317,-59.0877424,12.472,0.041,12.472,0.117,60246.82899943,10
221,1.5348891,-59.0874824,13.988,0.049,13.988,0.093,57889.78290139,10
222,1.5348014,-59.0874426,13.927,0.061,13.927,0.079,57889.25916064,10
223,1.534863,-59.0874454,13.961,0.052,13.961,0.082,57890.24119052,10
224,1.5348374,-59.0875193,13.927,0.072,13.927,0.074,57889.58654635,10
225,1.534865,-59.0875055,13.884,0.058,13.884,0.089,57890.04483549,10
226,1.5348567,-59.0875545,13.882,0.046,13.882,0.074,57889.71744968,10
228,1.5347726,-59.0875237,13.929,0.047,13.929,0.102,57889.390064,10
230,1.5347297,-59.0874777,14.011,0.055,14.011,0.071,57889.84835309,10
232,1.5346597,-59.0875215,13.918,0.056,13.918,0.1,57889.9138048,10
234,1.5347971,-59.0875452,13.913,0.049,13.913,0.096,59721.92304269,10
238,1.5346463,-59.087457,13.975,0.048,13.975,0.068,57337.08943971,10
239,1.5348167,-59.087522,14.098,0.056,14.098,0.126,57336.95828127,10
240,1.5348381,-59.0875086,13.905,0.049,13.905,0.152,57337.28617734,10
244,1.5348525,-59.0875299,14.074,0.053,14.074,0.087,57337.35175659,10
246,1.5349052,-59.087582,14.101,0.056,14.101,0.079,57337.61407337,10
251,1.5349472,-59.0875117,14.414,0.061,14.414,0.103,58420.28969863,10
252,1.5348323,-59.0874768,14.441,0.065,14.441,0.12,58420.61682971,10
257,1.5349089,-59.0875329,14.577,0.073,14.577,0.13,58421.20576807,10
259,1.5348739,-59.0875773,14.565,0.076,14.565,0.104,58420.22424699,10
261,1.5347633,-59.0875572,14.439,0.061,14.439,0.122,58420.55150534,10
266,1.5348926,-59.0875563,13.891,0.051,13.891,0.099,58060.60384928,10
269,1.5348659,-59.0874986,14.246,0.057,14.246,0.095,57525.3381748,10
271,1.5349098,-59.0875029,14.247,0.066,14.247,0.107,57525.73139433,10
272,1.5349403,-59.0875114,14.179,0.074,14.179,0.109,57526.0589077,10
273,1.5351395,-59.0874751,14.246,0.09,14.246,0.098,57525.9278769,10
274,1.5346988,-59.0874627,14.339,0.063,14.339,0.086,57525.207144,10
276,1.5347938,-59.0875009,14.176,0.054,14.176,0.077,57525.53478458,10
277,1.5348604,-59.0874982,14.204,0.062,14.204,0.139,57525.66581532,10
278,1.5347858,-59.0875107,14.257,0.063,14.257,0.093,57525.86242516,10
279,1.5349102,-59.0875161,14.193,0.058,14.193,0.102,57526.1900658,10
280,1.534785,-59.0875843,14.163,0.056,14.163,0.11,57526.32109654,10
283,1.5346186,-59.0875454,14.245,0.056,14.245,0.079,57524.94508243,10
284,1.5348882,-59.0874935,14.139,0.054,14.139,0.101,59880.42322892,10
291,1.534867,-59.087532,14.038,0.065,14.038,0.166,59880.29283497,10
301,1.534765,-59.0874509,14.223,0.058,14.223,0.102,56799.95554847,10
302,1.5346565,-59.0873949,14.012,0.057,14.012,0.099,56800.02138206,10
304,1.5347439,-59.0872967,13.901,0.049,13.901,0.087,56799.56067429,10
306,1.535071,-59.0874567,13.997,0.049,13.997,0.06,56799.75817507,10
308,1.5348658,-59.0875039,14.138,0.054,14.138,0.109,56799.23176539,10
310,1.5348493,-59.0874946,13.967,0.048,13.967,0.077,56799.69234142,10
312,1.534937,-59.0876127,14.075,0.058,14.075,0.086,56800.35029529,10
314,1.53473,-59.0875611,14.097,0.049,14.097,0.089,56799.4949725,10
316,1.5350613,-59.0875496,14.347,0.061,14.347,0.1,58784.23018172,10
317,1.5350469,-59.0875433,14.433,0.066,14.433,0.113,58784.68808843,10
318,1.5349984,-59.0875291,14.511,0.069,14.511,0.112,58785.01509558,10
320,1.5348638,-59.0875152,14.441,0.072,14.441,0.12,58784.23005441,10
321,1.5349247,-59.0875505,14.335,0.059,14.335,0.106,58784.42640928,10
323,1.5347776,-59.0876212,14.302,0.122,14.302,0.104,58783.96850255,10
324,1.5347358,-59.0875662,14.445,0.063,14.445,0.093,58784.884316,10
326,1.5347348,-59.0874884,14.274,0.065,14.274,0.129,58784.62263682,10
328,1.5346178,-59.087496,14.469,0.083,14.469,0.097,58784.36095767,10
333,1.5349382,-59.0874414,14.11,0.053,14.11,0.138,59515.93938815,10
335,1.5345997,-59.0874488,14.181,0.07,14.181,0.1,59516.59288584,10
344,1.5347711,-59.0875414,14.015,0.052,14.015,0.13,59516.20081271,10
347,1.5350685,-59.0875653,14.394,0.062,14.394,0.112,60084.01048998,10
349,1.5350087,-59.0874335,14.504,0.067,14.504,0.148,60083.36132144,10
351,1.5353649,-59.0874697,14.922,0.126,14.922,0.122,60083.42626369,10
352,1.5349909,-59.0875689,14.479,0.064,14.479,0.111,60083.81579032,10
353,1.5348692,-59.0875078,14.333,0.059,14.333,0.099,60083.2314362,10
357,1.5348513,-59.087514,14.38,0.061,14.38,0.1,60084.46495891,10
359,1.5348495,-59.0875719,14.303,0.074,14.303,0.103,60083.88060531,10
360,1.5347446,-59.0875834,14.202,0.102,14.202,0.123,60083.55602104,10
362,1.5350509,-59.0876264,14.282,0.081,14.282,0.106,60084.33507425,10
