ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
1.5347273,-59.0874934,60085b230-000338,14.132,0.052,10,57161.79118516,0.199120,287.465244
1.5347253,-59.0875268,54474a067-000371,14.108,0.054,10,56977.50043208,0.202857,252.654222
1.5348926,-59.0875563,87521a036-000304,13.891,0.051,10,58060.60384928,0.202950,145.216693
1.5349403,-59.0875114,71196a203-000398,14.179,0.074,10,57526.05890770,0.204064,91.415363
1.5347633,-59.0875572,98521a033-000486,14.439,0.061,10,58420.55150534,0.209973,215.978392
1.5347635,-59.0874620,87509a035-000350,13.933,0.048,10,58060.21101167,0.212100,324.559440
1.5347410,-59.0875485,82420a199-000325,13.856,0.045,10,57893.64582458,0.215173,229.900933
1.5348266,-59.0874502,39356r197-000337,14.042,0.052,10,59716.31024270,0.215370,358.326941
1.5348531,-59.0875690,22075r056-000343,14.052,0.049,10,59151.64672205,0.216661,168.627423
1.5349472,-59.0875117,98513a032-000456,14.414,0.061,10,58420.28969863,0.216835,91.617367
1.5347297,-59.0874777,82304a200-000393,14.011,0.055,10,57889.84835309,0.218938,302.081753
1.5347543,-59.0875577,82324a201-000317,14.033,0.049,10,57890.50312454,0.221554,219.189892
1.5348081,-59.0875707,17072r197-000454,14.133,0.066,10,58988.08556075,0.222235,190.500501
1.5348855,-59.0875650,39364r197-000347,13.971,0.049,10,59716.57128537,0.223020,152.597885
1.5349458,-59.0875295,54494b066-000326,14.044,0.051,10,56978.15775119,0.225380,108.148559
1.5348495,-59.0875719,50642r220-000411,14.303,0.074,10,60083.88060531,0.225736,170.807152
1.5349247,-59.0875505,10845r032-000412,14.335,0.059,10,58784.42640928,0.227881,129.776616
1.5347174,-59.0874832,22073r032-000376,14.148,0.058,10,59151.58127041,0.229513,294.858264
1.5347291,-59.0874726,48981b235-000324,13.978,0.052,10,56796.86277341,0.230109,305.811055
1.5348630,-59.0874454,82316a200-001628,13.961,0.052,10,57890.24119052,0.240428,14.704625
1.5349347,-59.0875510,17068r197-000412,14.383,0.075,10,58987.95478485,0.243474,127.316921
1.5348372,-59.0874423,82416a199-000312,13.957,0.052,10,57893.51492122,0.244074,3.127298
1.5347650,-59.0874509,49076a208-000367,14.223,0.058,10,56799.95554847,0.244365,330.532886
1.5348014,-59.0874426,82285b226-001629,13.927,0.061,10,57889.25916064,0.248334,347.702368
1.5347000,-59.0874919,55685r031-000717,14.305,0.075,10,60247.28194039,0.249093,285.163986
1.5348963,-59.0875709,54506a067-000404,14.194,0.070,10,56978.55224450,0.251208,150.782614
1.5349625,-59.0874946,39346r223-000369,13.948,0.048,10,59715.98400980,0.251246,77.252015
1.5349610,-59.0874912,54509a042-000358,14.087,0.051,10,56978.61795091,0.251546,74.392204
1.5347794,-59.0874447,17082r221-000394,14.224,0.073,10,58988.41243745,0.253025,338.293426
1.5347089,-59.0874769,82390a223-000313,13.917,0.057,10,57892.66366742,0.253696,298.015033
1.5348739,-59.0875773,98511a056-000479,14.565,0.076,10,58420.22424699,0.255515,161.473697
1.5348427,-59.0875810,28236r196-000368,13.991,0.054,10,59353.06141289,0.256677,174.749718
1.5347300,-59.0875611,49061b233-000329,14.097,0.049,10,56799.49497250,0.260857,225.152483
1.5347932,-59.0874399,05862r223-000475,14.406,0.060,10,58621.46472443,0.261381,344.907002
1.5346984,-59.0875373,48965b235-000328,13.994,0.051,10,56796.33635926,0.262481,248.010761
1.5347358,-59.0875662,10859r056-000468,14.445,0.063,10,58784.88431600,0.266995,220.731317
1.5348494,-59.0874355,93532a197-000448,14.359,0.079,10,58257.33890897,0.270598,7.619591
1.5346936,-59.0874777,54490a066-000344,14.120,0.088,10,56978.02621101,0.277764,294.747313
1.5347549,-59.0875771,48961b236-000412,14.078,0.052,10,56796.20481938,0.278647,209.897879
1.5347850,-59.0875843,71204a204-000367,14.163,0.056,10,57526.32109654,0.280135,197.283021
1.5348832,-59.0875845,76421a036-000509,14.272,0.057,10,57697.19018389,0.285678,159.854467
1.5349052,-59.0875820,65446a064-000329,14.101,0.056,10,57337.61407337,0.294150,151.783801
1.5349886,-59.0875194,05864r197-000385,14.299,0.072,10,58621.53004878,0.295256,96.581162
1.5349892,-59.0875037,76393a035-000477,14.264,0.063,10,57696.27309321,0.295304,85.595232
1.5348676,-59.0874301,76386a060-000422,14.241,0.074,10,57696.07661013,0.295927,13.590777
1.5346988,-59.0874627,71169b227-003584,14.339,0.063,10,57525.20714400,0.296438,305.059891
1.5349903,-59.0875180,93540a196-000415,14.409,0.086,10,58257.60058899,0.297852,95.548689
1.5347446,-59.0875834,50632r195-000364,14.202,0.102,10,60083.55602104,0.307850,210.867397
1.5348808,-59.0875930,93518a221-000422,14.371,0.073,10,58256.88074698,0.313219,162.545514
1.5348653,-59.0875952,76390b060-000897,14.244,0.082,10,57696.20764127,0.313596,167.984081
1.5348485,-59.0875968,82400a198-000317,14.013,0.051,10,57892.99105324,0.314348,173.751433
1.5347643,-59.0874293,05848r198-000496,14.427,0.064,10,58621.00681740,0.314904,337.303327
1.5346597,-59.0875215,82305b225-000371,13.918,0.056,10,57889.91380480,0.317667,262.511516
1.5349382,-59.0874414,33221r030-000384,14.110,0.053,10,59515.93938815,0.317860,39.017330
1.5349984,-59.0875291,10863r055-000480,14.511,0.069,10,58785.01509558,0.318943,102.450061
1.5346574,-59.0875050,17058r222-000387,14.317,0.064,10,58987.62778131,0.319712,273.227369
1.5346632,-59.0875350,28230r221-000416,13.995,0.076,10,59352.86531201,0.321348,253.735332
1.5348167,-59.0874184,05858r222-000483,14.354,0.074,10,58621.33382108,0.330678,355.734107
1.5349082,-59.0874273,93510a222-000436,14.350,0.061,10,58256.61906748,0.330992,25.909361
1.5349792,-59.0875627,54505a042-000350,14.084,0.056,10,56978.48641073,0.334866,124.510801
1.5347215,-59.0874326,05860r198-000470,14.455,0.064,10,58621.39927271,0.343376,324.240420
1.5347450,-59.0874239,05854r223-000614,14.375,0.080,10,58621.20304505,0.347546,333.107407
1.5347658,-59.0876011,22085r033-000329,13.964,0.058,10,59151.97372574,0.348794,199.901959
1.5346406,-59.0875153,48989b235-000434,14.206,0.057,10,56797.12598057,0.350806,266.882062
1.5348143,-59.0876081,76405a036-000448,14.394,0.064,10,57696.66618663,0.354357,184.700129
1.5350077,-59.0875513,82398a223-000373,13.967,0.070,10,57892.92560153,0.360711,114.342409
1.5346367,-59.0874952,05838r222-000422,14.365,0.061,10,58620.67968639,0.361444,278.476755
1.5349909,-59.0875689,50640r196-000474,14.479,0.064,10,60083.81579032,0.365395,125.472514
1.5350181,-59.0875412,93502a221-000414,14.274,0.058,10,58256.35726066,0.365563,107.893978
1.5350262,-59.0875256,93530a222-000445,14.484,0.064,10,58257.27345728,0.367174,98.798056
1.5346444,-59.0874714,60069b230-000477,14.040,0.048,10,57161.26617120,0.370313,292.039633
1.5346305,-59.0875221,93514a222-000537,14.317,0.058,10,58256.74997091,0.371523,263.266645
1.5349957,-59.0875723,39372r197-000366,13.982,0.059,10,59716.83232804,0.379759,126.199255
1.5347015,-59.0875935,17078r221-000406,14.226,0.064,10,58988.28166094,0.383189,218.329379
1.5350329,-59.0874848,93520a196-000461,14.401,0.069,10,58256.94619872,0.386062,76.409031
1.5346463,-59.0874570,65430a064-000380,13.975,0.048,10,57337.08943971,0.389655,299.318814
1.5346871,-59.0875908,76406a059-000551,14.232,0.059,10,57696.73163856,0.393010,222.256984
1.5346178,-59.0874960,10843r056-000560,14.469,0.083,10,58784.36095767,0.395670,277.318054
1.5347771,-59.0876206,93522a221-000419,14.273,0.066,10,58257.01165046,0.409998,193.804969
1.5346186,-59.0875454,71161b227-000405,14.245,0.056,10,57524.94508243,0.411218,251.945985
1.5347776,-59.0876212,10831r056-000709,14.302,0.122,10,58783.96850255,0.411883,193.608353
1.5346612,-59.0874353,82396a199-000359,13.892,0.052,10,57892.86014981,0.412044,310.742146
1.5349962,-59.0874331,05868r198-000456,14.492,0.068,10,58621.66095213,0.413668,47.991942
1.5350537,-59.0875252,93512a197-000451,14.367,0.061,10,58256.68451917,0.417318,97.534577
