ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85.7772678,-2.7132319,0.0356,0.0334,-0.0155,10.628,0.016,67.1,1.226E+00,10.591,0.019,57.0,7.492E-01,1,0,0000,AA,10,57813.18982701,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.169716,36.086093
85.7772394,-2.7132228,0.0345,0.0355,-0.0121,10.626,0.019,56.6,1.034E+00,10.634,0.019,56.4,1.474E+00,1,0,0000,AA,5,56730.26742054,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.169939,359.272519
85.7772300,-2.7132237,0.0365,0.0337,-0.0071,10.684,0.017,65.7,7.189E-01,10.698,0.023,48.0,1.040E+00,1,0,0000,AA,10,56922.18084115,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.170522,347.825568
85.7772624,-2.7132281,0.0359,0.0346,-0.0099,10.579,0.017,62.9,9.518E-01,10.608,0.022,48.3,6.840E-01,1,0,0000,AA,10,58743.84983372,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.170992,28.102525
85.7772393,-2.7132220,0.0367,0.0361,-0.0057,10.606,0.019,57.0,9.094E-01,10.574,0.020,54.3,8.984E-01,1,0,0000,AA,10,56730.26729323,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.172805,359.165432
85.7772674,-2.7132300,0.0375,0.0401,-0.0171,10.641,0.018,59.7,2.526E+00,10.672,0.024,45.6,1.369E+00,1,0,0000,AA,10,59839.33205622,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.174492,34.381187
85.7772370,-2.7132216,0.0385,0.0416,-0.0059,10.709,0.024,45.2,2.875E+00,10.667,0.019,56.6,1.001E+00,1,0,0000,AA,10,58170.57826589,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.174573,356.457112
85.7772590,-2.7132252,0.0338,0.0338,-0.0144,10.599,0.015,70.2,8.591E-01,10.554,0.019,58.1,7.271E-01,1,0,0000,AA,10,57090.05718921,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.175167,22.959056
85.7772375,-2.7132211,0.0339,0.0347,-0.0099,10.597,0.019,57.9,1.129E+00,10.563,0.019,57.0,5.678E-01,1,0,0000,AA,10,57090.18847473,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.176270,357.076591
85.7772496,-2.7132218,0.0318,0.0320,-0.0122,10.601,0.016,66.3,1.096E+00,10.567,0.019,58.1,9.496E-01,1,0,0000,AA,10,57812.53492549,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.176911,11.251901
85.7772330,-2.7132209,0.0333,0.0339,-0.0017,10.598,0.019,56.4,1.387E+00,10.576,0.021,52.2,1.287E+00,1,0,0000,AA,5,57089.92590374,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.178533,351.895210
85.7772353,-2.7132203,0.0357,0.0324,-0.0117,10.599,0.016,67.9,6.540E-01,10.592,0.020,54.4,9.407E-01,1,0,0000,AA,10,57648.17265167,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.179719,354.603773
85.7772600,-2.7132239,0.0409,0.0392,-0.0161,10.596,0.021,52.3,1.080E+00,10.618,0.022,49.6,7.612E-01,1,0,0000,AA,10,59632.75930534,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.180872,23.429648
85.7772372,-2.7132195,0.0361,0.0330,-0.0110,10.601,0.017,63.4,2.920E+00,10.574,0.020,55.0,2.024E+00,1,0,0000,AA,10,58901.45067580,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.182069,356.830004
85.7772180,-2.7132239,0.0393,0.0412,-0.0173,10.757,0.021,52.7,3.174E+00,10.643,0.023,47.3,1.563E+00,1,0,0000,AA,10,59475.14174134,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.183851,334.513401
85.7772586,-2.7132224,0.0364,0.0335,-0.0120,10.746,0.017,64.0,1.330E+00,10.719,0.024,45.1,9.161E-01,1,0,0000,AA,10,56922.44392133,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.183953,21.321609
85.7772370,-2.7132189,0.0347,0.0312,-0.0080,10.606,0.016,67.9,7.395E-01,10.602,0.020,54.0,6.108E-01,1,0,0000,AA,10,58014.82495291,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.184287,356.643870
85.7772490,-2.7132195,0.0382,0.0393,0.0149,10.566,0.020,54.4,1.345E+00,10.556,0.021,51.9,1.545E+00,1,0,0000,AA,10,58379.70074917,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.184645,10.093941
85.7772605,-2.7132229,0.0333,0.0367,-0.0107,10.576,0.018,58.8,5.521E+00,10.568,0.020,54.9,8.827E-01,1,0,0000,AA,5,59474.42279242,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.184901,23.497295
85.7772444,-2.7132188,0.0362,0.0365,-0.0143,10.778,0.016,66.0,9.940E-01,10.770,0.022,49.6,9.904E-01,1,0,0000,AA,10,57089.59749906,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.185003,4.906309
85.7772389,-2.7132186,0.0377,0.0356,-0.0081,10.620,0.017,62.2,2.706E+00,10.621,0.020,53.7,6.267E-01,1,0,0000,AA,10,56922.11500744,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.185080,358.775387
85.7772312,-2.7132183,0.0378,0.0347,-0.0125,10.595,0.018,61.9,8.931E-01,10.577,0.022,49.3,6.301E-01,1,0,0000,AA,10,58379.24271487,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.188794,350.350732
85.7772407,-2.7132173,0.0370,0.0354,0.0122,10.753,0.020,53.4,1.078E+00,10.704,0.020,55.2,1.101E+00,1,0,0000,AA,10,57089.46608627,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.189743,0.760147
85.7772511,-2.7132184,0.0318,0.0325,-0.0105,10.576,0.017,63.6,8.617E-01,10.598,0.020,53.4,1.399E+00,1,0,0000,AA,5,57448.74904612,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.189991,12.127042
85.7772529,-2.7132185,0.0357,0.0331,-0.0101,10.579,0.016,67.5,1.237E+00,10.587,0.024,44.4,1.009E+00,1,0,0000,AA,10,59268.42866232,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.191107,14.047278
85.7772365,-2.7132169,0.0354,0.0330,-0.0094,10.595,0.016,67.1,6.615E-01,10.597,0.020,54.4,1.400E+00,1,0,0000,AA,5,57283.68178689,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.191576,356.233112
85.7772311,-2.7132174,0.0373,0.0430,-0.0169,10.630,0.020,54.4,1.483E+00,10.613,0.021,52.4,1.003E+00,1,0,0000,AA,10,58015.54504870,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.192044,350.406991
85.7772640,-2.7132221,0.0336,0.0342,-0.0109,10.570,0.017,63.7,2.450E+00,10.570,0.020,53.4,7.111E-01,1,0,0000,AA,10,59111.01945837,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.192829,26.587148
85.7772652,-2.7132226,0.0376,0.0374,-0.0147,10.616,0.018,58.9,5.542E+00,10.572,0.021,51.3,2.094E+00,1,0,0000,AA,10,58015.67595203,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.193221,27.970518
85.7772457,-2.7132165,0.0421,0.0363,-0.0208,10.707,0.018,59.9,9.310E-01,10.682,0.021,52.3,7.421E-01,1,0,0000,AA,10,59265.68338127,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.193685,6.074702
85.7772604,-2.7132201,0.0347,0.0316,-0.0027,10.553,0.017,62.6,1.571E+00,10.557,0.019,55.8,1.155E+00,1,0,0000,AA,10,58169.98919606,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.194050,22.213108
85.7772476,-2.7132164,0.0369,0.0372,-0.0052,10.670,0.019,57.1,1.795E+00,10.691,0.022,50.0,1.190E+00,1,0,0000,AA,10,57818.55981591,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.194876,8.061304
85.7772399,-2.7132157,0.0356,0.0352,0.0070,10.643,0.019,57.7,9.647E-01,10.638,0.020,55.3,1.126E+00,1,0,0000,AA,10,57283.81294520,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.195481,359.894601
85.7772497,-2.7132165,0.0322,0.0334,-0.0088,10.558,0.018,61.0,8.844E-01,10.539,0.022,50.5,9.973E-01,1,0,0000,AA,10,56730.86005073,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.195722,10.265296
85.7772515,-2.7132166,0.0344,0.0347,-0.0108,10.545,0.017,65.5,2.743E+00,10.525,0.020,54.6,1.284E+00,1,0,0000,AA,10,58537.28766975,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.196637,12.140144
85.7772479,-2.7132158,0.0342,0.0309,-0.0067,10.567,0.016,66.9,1.640E+00,10.534,0.020,53.9,6.362E-01,1,0,0000,AA,10,58537.09144167,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.197189,8.283665
