ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
28.5905002,-59.7456982,65985a025-000079,11.706,0.027,10,57355.25272741,0.042478,0.489274
28.5904787,-59.7457149,28808r213-000069,11.755,0.022,10,59371.75601290,0.042478,245.459094
28.5904878,-59.7456991,82881b241-000092,11.741,0.020,10,57908.77153484,0.045068,330.580057
28.5904831,-59.7457193,94028a214-000090,11.917,0.023,10,58273.56876102,0.045381,222.476515
28.5904880,-59.7457211,55045a029-000100,11.953,0.021,10,56996.23277389,0.045485,208.576698
28.5905172,-59.7457007,76945a019-000083,11.769,0.023,10,57714.35014919,0.045795,42.979028
28.5905034,-59.7456973,33793r016-000081,11.723,0.025,10,59534.62572185,0.046104,7.682032
28.5905171,-59.7457195,17572r214-000066,11.717,0.021,10,59004.43510843,0.046206,137.794825
28.5904878,-59.7456987,39940r212-000078,11.740,0.022,10,59735.36623069,0.046308,331.455241
28.5904903,-59.7457227,55030a053-000091,11.703,0.021,10,56995.77270109,0.048985,201.047798
28.5905272,-59.7457082,22545r015-000074,11.733,0.023,10,59167.01245790,0.049750,82.517355
28.5905194,-59.7456999,28778r238-000096,11.847,0.022,10,59370.77563881,0.050598,44.061631
28.5905262,-59.7457050,49572a227-000087,11.974,0.023,10,56816.27565488,0.050784,69.254756
28.5905069,-59.7457243,94112a212-000085,11.747,0.022,10,58276.31747618,0.052969,166.335855
28.5904824,-59.7456979,33763r040-000079,11.775,0.020,10,59533.64560132,0.054029,323.763930
28.5904759,-59.7457194,99003a039-000099,11.717,0.018,10,58436.32027837,0.055239,232.255110
28.5904821,-59.7457230,71757b242-000081,11.740,0.020,10,57544.47183278,0.056924,214.750853
28.5904898,-59.7457251,71768a217-000084,11.714,0.020,10,57544.79934568,0.057419,198.795554
28.5904730,-59.7457016,82901b242-000093,11.730,0.023,10,57909.42630631,0.057584,301.694553
28.5905226,-59.7457215,28804r213-000071,11.745,0.019,10,59371.62523693,0.058236,135.283519
28.5904703,-59.7457163,55054b053-000091,11.731,0.020,10,56996.56143372,0.058479,247.168396
28.5905311,-59.7457157,87989a017-000211,11.741,0.019,10,58075.92032291,0.059994,109.989719
28.5905294,-59.7457179,87987a041-000216,11.768,0.025,10,58075.85487112,0.060465,118.071930
28.5904681,-59.7457155,28794r238-000071,11.730,0.022,10,59371.29848799,0.061164,251.109017
28.5904709,-59.7457188,51132r213-000074,11.716,0.023,10,60099.78511766,0.061548,239.027674
28.5904723,-59.7457199,06418r237-000088,11.719,0.019,10,58639.65200311,0.061625,234.649791
28.5905301,-59.7457187,82872a216-000083,11.697,0.021,10,57908.44414853,0.062915,119.841567
28.5905327,-59.7457163,98979a040-000078,11.692,0.022,10,58435.53511223,0.063512,110.926141
28.5904647,-59.7457086,49556a227-000083,11.739,0.019,10,56815.74924098,0.064252,274.500787
28.5905188,-59.7457252,87979a041-000074,11.728,0.019,10,58075.59293683,0.064472,148.070138
28.5905057,-59.7457277,60568a223-000075,11.737,0.020,10,57177.60755340,0.064545,170.783900
28.5904702,-59.7457002,71741b243-000074,11.738,0.023,10,57543.94771024,0.064545,303.132753
28.5904994,-59.7457280,49533b251-000070,11.706,0.020,10,56815.02545382,0.064837,180.962170
28.5905352,-59.7457144,33675r039-000101,11.750,0.020,10,59530.77094718,0.065778,103.933502
28.5904930,-59.7457280,60561b247-000073,11.713,0.021,10,57177.41068932,0.066064,191.085928
28.5904951,-59.7457283,28786r238-000092,11.826,0.025,10,59371.03706337,0.066492,187.683245
28.5905346,-59.7457162,87965a017-000087,11.747,0.021,10,58075.13477463,0.066634,109.578000
28.5905090,-59.7457281,82884a217-000097,11.722,0.019,10,57908.83698652,0.067198,165.935322
28.5905297,-59.7457214,82885b241-000093,11.744,0.024,10,57908.90243824,0.067689,127.301182
28.5905019,-59.7457288,28808r212-000093,11.731,0.024,10,59371.75588553,0.067758,177.085026
28.5904759,-59.7456956,99109a018-000123,11.730,0.021,10,58439.78794753,0.067828,319.861393
28.5904706,-59.7456982,65978a049-000076,11.739,0.023,10,57355.05598968,0.068175,308.540995
28.5904972,-59.7457289,06444r213-000088,11.762,0.024,10,58640.50236710,0.068245,184.268797
28.5905075,-59.7457286,06460r213-000088,11.733,0.020,10,58641.02572664,0.068314,168.516048
28.5904655,-59.7457024,17570r239-000089,11.767,0.024,10,59004.36965682,0.068314,293.616039
28.5904638,-59.7457154,17550r239-000084,11.812,0.023,10,59003.71577654,0.068452,253.507567
28.5905270,-59.7457234,51118r238-000075,11.723,0.019,10,60099.33077601,0.068727,134.567939
28.5904646,-59.7457172,60572a223-000089,11.698,0.019,10,57177.73883859,0.069275,248.017014
28.5905382,-59.7457095,39936r213-000105,11.785,0.023,10,59735.23583677,0.069343,88.511889
28.5904627,-59.7457048,76962a044-000111,11.702,0.020,10,57714.93972477,0.070223,285.466541
28.5905381,-59.7457136,56173r014-000092,11.752,0.021,10,60263.05593515,0.070290,100.621698
28.5905254,-59.7456951,94116a213-000098,11.725,0.024,10,58276.44837943,0.070692,40.659059
28.5905247,-59.7457255,39950r237-000085,11.748,0.022,10,59735.69247083,0.071556,141.239340
28.5905225,-59.7456935,51126r237-000078,11.745,0.026,10,60099.59029071,0.072082,34.491133
28.5904828,-59.7456919,98967a039-000069,11.722,0.020,10,58435.14240183,0.072213,334.415544
28.5904987,-59.7456899,76954a043-000097,11.747,0.020,10,57714.67766288,0.072409,358.133586
28.5904872,-59.7456907,76934a043-000079,11.711,0.022,10,57714.02263553,0.073252,341.522832
