ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
31.4023465,-61.0567949,44943r036-000388,14.043,0.054,10,59898.47288133,0.199025,186.786410
31.4023206,-61.0567926,06428r215-000399,14.109,0.053,10,58639.97938861,0.201408,199.925417
31.4022779,-61.0567799,94000a217-000452,14.234,0.064,10,58272.65294718,0.202717,224.878882
31.4022669,-61.0567740,55061a025-000497,14.134,0.051,10,56996.75817126,0.203206,232.960598
31.4023208,-61.0567953,17544r217-000383,14.104,0.051,10,59003.51993097,0.210468,198.934416
31.4023945,-61.0566837,28784r216-000457,14.129,0.054,10,59370.97199380,0.211408,16.518012
31.4022420,-61.0567555,49553b255-000407,14.129,0.056,10,56815.68378939,0.213011,254.814118
31.4022749,-61.0566971,93990a241-000372,14.144,0.054,10,58272.32568902,0.214095,316.169381
31.4024058,-61.0566844,71776a221-000441,14.207,0.068,10,57545.06178905,0.215480,21.734434
31.4024842,-61.0567405,71741b245-000446,14.199,0.056,10,57543.94796487,0.216399,90.476668
31.4022811,-61.0566930,22529r012-000461,14.261,0.062,10,59166.48897188,0.218008,320.909301
31.4023700,-61.0568004,94012a216-000433,14.021,0.062,10,58273.04552986,0.218138,175.419082
31.4024700,-61.0567100,55049a025-000569,14.223,0.055,10,56996.36380492,0.219971,60.596531
31.4023031,-61.0567952,71752a221-000871,13.994,0.049,10,57544.27560514,0.222065,206.512146
31.4024444,-61.0566933,94002a242-000667,14.237,0.058,10,58272.71839888,0.223359,41.173688
31.4024439,-61.0567873,56151r034-000433,14.130,0.082,10,60262.34449723,0.224414,139.356905
31.4024839,-61.0567204,94004a217-000537,13.931,0.057,10,58272.78385052,0.227092,71.898449
31.4024838,-61.0567612,93992a216-000378,14.101,0.053,10,58272.39114067,0.228791,109.486451
31.4024781,-61.0567118,55065a026-000429,14.087,0.050,10,56996.88971155,0.229430,63.738035
31.4022642,-61.0567842,17546r241-000373,14.115,0.052,10,59003.58525527,0.230601,226.367363
31.4022572,-61.0566976,98959a036-000686,13.956,0.054,10,58434.88033682,0.235325,310.439968
31.4024900,-61.0567207,28782r241-000413,14.083,0.051,10,59370.90666946,0.236905,72.945374
31.4022381,-61.0567701,44927r036-000649,14.183,0.055,10,59897.95155968,0.238416,242.967771
31.4022229,-61.0567404,82888a220-000410,14.151,0.066,10,57908.96827196,0.238851,269.654522
31.4022802,-61.0567950,76934a041-000419,14.252,0.057,10,57714.02238086,0.241936,215.074847
31.4022237,-61.0567267,22539r036-000543,14.049,0.056,10,59166.81597551,0.242248,281.399801
31.4024913,-61.0567627,51094r240-000345,13.905,0.045,10,60098.55223204,0.242910,109.659101
31.4024705,-61.0566985,11395r037-000433,14.119,0.066,10,58802.41276578,0.243687,52.186708
31.4024497,-61.0567926,98971a036-000617,14.237,0.058,10,58435.27292328,0.245522,140.467899
31.4024967,-61.0567568,71756a221-000418,14.074,0.057,10,57544.40663582,0.245714,104.249054
31.4022190,-61.0567466,55030a050-000526,14.142,0.056,10,56995.77231905,0.246788,264.475296
31.4025020,-61.0567415,93994a241-000422,14.202,0.054,10,58272.45659227,0.247457,91.250500
31.4024515,-61.0567927,39922r241-000461,14.250,0.062,10,59734.77945792,0.247800,139.961642
31.4024659,-61.0567860,33787r037-000430,14.098,0.051,10,59534.42936681,0.247915,131.910206
31.4024774,-61.0567000,49541b255-000407,13.920,0.051,10,56815.28904266,0.250134,54.852983
31.4024453,-61.0567959,76945a017-000393,14.079,0.064,10,57714.34989450,0.250172,143.555382
