ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
29.3084488,-61.5938485,17494r241-000162,12.730,0.028,10,59001.88504071,0.108885,67.651398
29.3083321,-61.5938470,93944a217-000155,12.640,0.031,10,58270.82068238,0.109663,295.265894
29.3084372,-61.5938394,11351r038-000184,12.674,0.025,10,58800.97371796,0.109706,47.465677
29.3083744,-61.5938898,28730r240-000189,12.659,0.029,10,59369.20721815,0.110564,193.984117
29.3083734,-61.5938303,60524a226-000144,12.524,0.026,10,57176.16430786,0.110649,345.110134
29.3083406,-61.5938804,06348r215-000158,12.782,0.027,10,58637.36285111,0.112049,229.039802
29.3083696,-61.5938896,60516a225-000123,12.469,0.031,10,57175.90173691,0.112133,198.152232
29.3083350,-61.5938427,71676a219-000145,12.610,0.026,10,57541.78576763,0.112931,303.472680
29.3084095,-61.5938300,60480a226-000118,12.572,0.026,10,57174.72068391,0.113056,17.182515
29.3084550,-61.5938663,11361r013-000157,12.678,0.029,10,58801.30072160,0.113598,101.515880
29.3084303,-61.5938855,98931a036-000166,12.696,0.029,10,58433.96426782,0.114839,143.063388
29.3083872,-61.5938919,93940a216-000209,12.678,0.028,10,58270.68977909,0.114921,182.391043
29.3084114,-61.5938295,22483r037-000158,12.759,0.027,10,59164.98511118,0.115740,18.458141
29.3083249,-61.5938505,39860r215-000183,12.772,0.032,10,59732.75669539,0.116634,287.053661
29.3084540,-61.5938711,93928a216-000163,12.651,0.025,10,58270.29706918,0.116675,110.030882
29.3084580,-61.5938636,49488a226-000137,12.607,0.026,10,56813.51242708,0.117160,96.350164
29.3084505,-61.5938755,71688a219-000294,12.615,0.028,10,57542.17885958,0.117683,118.304733
29.3083745,-61.5938280,11343r038-000156,12.701,0.026,10,58800.71203860,0.118203,347.024035
29.3084576,-61.5938669,11319r038-000352,12.683,0.030,10,58799.92712743,0.118403,102.109911
29.3083365,-61.5938389,51026r239-000139,12.660,0.025,10,60096.34533824,0.119000,309.660262
29.3083375,-61.5938381,60520a226-000146,12.616,0.025,10,57176.03302205,0.119594,311.246491
29.3083221,-61.5938504,06364r215-000151,12.685,0.028,10,58637.88608215,0.121319,286.552012
29.3083219,-61.5938698,06346r240-000194,12.747,0.027,10,58637.29739953,0.121863,253.169271
29.3083640,-61.5938278,39866r240-000152,12.699,0.027,10,59732.95241372,0.124167,338.987172
29.3084013,-61.5938259,93910a240-000157,12.695,0.030,10,58269.70813164,0.124281,8.958551
29.3084105,-61.5938265,33723r038-000143,12.692,0.026,10,59532.33847749,0.125604,16.230892
29.3083198,-61.5938702,28718r240-000151,12.552,0.028,10,59368.81514493,0.125717,253.015673
29.3083711,-61.5938941,51042r240-000146,12.655,0.028,10,60096.86474954,0.126951,194.770878
29.3083961,-61.5938952,51052r215-000204,12.624,0.024,10,60097.18920653,0.127136,175.287207
29.3083480,-61.5938892,28610r240-000170,12.669,0.026,10,59365.28521171,0.127359,214.381956
29.3083326,-61.5938373,60497b251-000168,12.606,0.025,10,57175.31127190,0.127840,309.737112
